GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ai-search,com.github.lstephen.ai.search.action,SequencedAction,0,68,0,0,0,10,0,9,0,9
ai-search,com.github.lstephen.ai.search,RepeatedHillClimbing,5,46,0,0,0,16,1,3,1,3
ai-search,com.github.lstephen.ai.search,HillClimbing,0,87,0,4,0,23,0,10,0,8
ai-search,com.github.lstephen.ai.search,HillClimbing.Builder,0,38,0,0,0,11,0,8,0,8
